datetime,open,high,low,close,volume
1986-01-02T06:00:00Z,18.71,18.71,17.4,18.07,0
1986-01-03T06:00:00Z,19.1,19.1,17.72,17.96,0
1986-01-06T06:00:00Z,18.17,18.17,17.05,17.05,0
1986-01-07T06:00:00Z,18.11,18.11,17.3,17.39,0
1986-01-08T06:00:00Z,21.15,21.15,16.63,19.97,0
1986-01-09T06:00:00Z,21.66,21.66,19.11,20.2,0
1986-01-10T06:00:00Z,21.44,21.44,18.35,18.45,0
1986-01-13T06:00:00Z,19.57,19.57,18.29,18.8,0
1986-01-14T06:00:00Z,18.68,18.68,17.67,18.06,0
1986-01-15T06:00:00Z,18.87,18.87,17.25,18.87,0
1986-01-16T06:00:00Z,19.48,19.48,18.29,18.58,0
1986-01-17T06:00:00Z,19.87,19.87,17.99,17.99,0
1986-01-20T06:00:00Z,18.49,18.49,16.78,17.09,0
1986-01-21T06:00:00Z,17.61,17.61,16.01,16.86,0
1986-01-22T06:00:00Z,17.52,17.52,16.29,16.66,0
1986-01-23T06:00:00Z,17.48,17.48,16.76,17.14,0
1986-01-24T06:00:00Z,17.67,17.67,16.83,17.22,0
1986-01-27T06:00:00Z,18.11,18.11,17.01,17.38,0
1986-01-28T06:00:00Z,18.24,18.24,17.45,17.47,0
1986-01-29T06:00:00Z,19.09,19.09,17.84,18.76,0
1986-01-30T06:00:00Z,19.96,19.96,19.01,19.12,0
1986-01-31T06:00:00Z,20.52,20.52,19.08,19.58,0
1986-02-03T06:00:00Z,20.75,20.75,19.01,19.41,0
1986-02-04T06:00:00Z,21.24,21.24,19.78,20.82,0
1986-02-05T06:00:00Z,21.68,21.68,20.63,20.72,0
1986-02-06T06:00:00Z,22.08,22.08,20.92,21.07,0
1986-02-07T06:00:00Z,22.63,22.63,18.71,22.12,0
1986-02-10T06:00:00Z,21.34,21.34,20.39,20.4,0
1986-02-11T06:00:00Z,21.25,21.25,20.23,20.23,0
1986-02-12T06:00:00Z,20.86,20.86,19.38,19.53,0
1986-02-13T06:00:00Z,20.26,20.26,18.13,18.13,0
1986-02-14T06:00:00Z,19.56,19.56,17.88,17.96,0
1986-02-18T06:00:00Z,20.95,20.95,19.35,19.79,0
1986-02-19T06:00:00Z,21.42,21.42,19.91,20.72,0
1986-02-20T06:00:00Z,21.81,21.81,20.5,20.76,0
1986-02-21T06:00:00Z,21.73,21.73,20.61,21.27,0
1986-02-24T06:00:00Z,22.31,22.31,21.02,21.52,0
1986-02-25T06:00:00Z,22.61,22.61,21.58,22.05,0
1986-02-26T06:00:00Z,22.96,22.96,22.09,22.38,0
1986-02-27T06:00:00Z,23.01,23.01,21.11,21.39,0
1986-02-28T06:00:00Z,22.36,22.36,21.06,21.59,0
1986-03-03T06:00:00Z,22.16,22.16,21.09,21.17,0
1986-03-04T06:00:00Z,22.07,22.07,19.88,19.94,0
1986-03-05T06:00:00Z,21.13,21.13,20.08,20.42,0
1986-03-06T06:00:00Z,22.4,22.4,21.21,21.66,0
1986-03-07T06:00:00Z,22.56,22.56,21.32,21.39,0
1986-03-10T06:00:00Z,22.63,22.63,21.3,21.49,0
1986-03-11T06:00:00Z,22.39,22.39,21.02,21.87,0
1986-03-12T06:00:00Z,23.72,23.72,21.8,23.14,0
1986-03-13T06:00:00Z,25.08,25.08,23.42,24.29,0
1986-03-14T06:00:00Z,25.52,25.52,23.78,24.83,0
1986-03-17T06:00:00Z,26.49,26.49,25.39,25.45,0
1986-03-18T06:00:00Z,26.95,26.95,25.48,26.27,0
1986-03-19T06:00:00Z,26.79,26.79,25.13,25.82,0
1986-03-20T06:00:00Z,27.52,27.52,26.33,26.52,0
1986-03-21T06:00:00Z,27.49,27.49,25.85,26.91,0
1986-03-24T06:00:00Z,26.27,26.27,23.27,24.01,0
1986-03-25T06:00:00Z,25.7,25.7,24.29,24.4,0
1986-03-26T06:00:00Z,25.62,25.62,24.42,24.81,0
1986-03-27T06:00:00Z,25.12,25.12,22.73,23.56,0
1986-03-31T06:00:00Z,24.54,24.54,23.09,23.33,0
1986-04-01T06:00:00Z,24.93,24.93,21.37,24.7,0
1986-04-02T06:00:00Z,25.72,25.72,23.43,24.21,0
1986-04-03T06:00:00Z,24.96,24.96,23.56,24.66,0
1986-04-04T06:00:00Z,25.26,25.26,23.78,23.97,0
1986-04-07T06:00:00Z,24.27,24.27,23.07,23.52,0
1986-04-08T06:00:00Z,24.52,24.52,23.29,24.08,0
1986-04-09T06:00:00Z,25.31,25.31,23.65,23.65,0
1986-04-10T06:00:00Z,25.8,25.8,24.05,24.08,0
1986-04-11T06:00:00Z,25.48,25.48,23.68,23.84,0
1986-04-14T06:00:00Z,24.85,24.85,23.07,23.07,0
1986-04-15T06:00:00Z,24.71,24.71,23.25,23.79,0
1986-04-16T06:00:00Z,24.15,24.15,22.44,22.94,0
1986-04-17T06:00:00Z,24.06,24.06,22.51,22.72,0
1986-04-18T06:00:00Z,23.12,23.12,21.15,21.45,0
1986-04-21T06:00:00Z,22.62,22.62,20.63,21.06,0
1986-04-22T06:00:00Z,22.31,22.31,20.94,21.68,0
1986-04-23T06:00:00Z,22.8,22.8,21.36,21.4,0
1986-04-24T06:00:00Z,23.28,23.28,21.75,22.28,0
1986-04-25T06:00:00Z,23.37,23.37,22.19,22.27,0
1986-04-28T05:00:00Z,23.4,23.4,22.17,22.57,0
1986-04-29T05:00:00Z,23.81,23.81,21.98,22.71,0
1986-04-30T05:00:00Z,23.02,23.02,21.67,21.69,0
1986-05-01T05:00:00Z,22.94,22.94,21.61,21.92,0
1986-05-02T05:00:00Z,22.61,22.61,20.48,20.73,0
1986-05-05T05:00:00Z,21.56,21.56,20.49,20.57,0
1986-05-06T05:00:00Z,21.6,21.6,19.44,20.76,0
1986-05-07T05:00:00Z,21.21,21.21,19.94,20.31,0
1986-05-08T05:00:00Z,21.04,21.04,19.88,19.9,0
1986-05-09T05:00:00Z,20.61,20.61,19.05,19.14,0
1986-05-12T05:00:00Z,20.07,20.07,18.77,19.42,0
1986-05-13T05:00:00Z,20.13,20.13,18.6,19.48,0
1986-05-14T05:00:00Z,19.81,19.81,17.35,19.42,0
1986-05-16T05:00:00Z,19.41,19.41,17.73,18.11,0
1986-05-19T05:00:00Z,18.29,18.29,17.37,17.79,0
1986-05-20T05:00:00Z,18.08,18.08,16.81,17.28,0
1986-05-21T05:00:00Z,17.78,17.78,16.58,16.87,0
1986-05-22T05:00:00Z,17.67,17.67,16.64,16.99,0
1986-05-23T05:00:00Z,17.55,17.55,16.47,16.74,0
1986-05-27T05:00:00Z,17.63,17.63,16.73,16.92,0
1986-05-28T05:00:00Z,18.69,18.69,17.18,17.75,0
1986-05-29T05:00:00Z,18.86,18.86,17.93,18.76,0
1986-05-30T05:00:00Z,19.33,19.33,15.75,18.89,0
1986-06-02T05:00:00Z,18.93,18.93,17.36,18.28,0
1986-06-03T05:00:00Z,18.92,18.92,18.12,18.55,0
1986-06-04T05:00:00Z,19.09,19.09,18.32,18.48,0
1986-06-05T05:00:00Z,19.15,19.15,18.2,18.2,0
1986-06-06T05:00:00Z,19.18,19.18,18.27,18.4,0
1986-06-09T05:00:00Z,19.34,19.34,18.2,18.64,0
1986-06-10T05:00:00Z,21.16,21.16,17.88,18.32,0
1986-06-11T05:00:00Z,19.25,19.25,18.41,18.66,0
1986-06-12T05:00:00Z,19.23,19.23,18.47,18.52,0
1986-06-13T05:00:00Z,19.72,19.72,18.15,18.65,0
1986-06-16T05:00:00Z,19.22,19.22,18.13,18.66,0
1986-06-17T05:00:00Z,19.83,19.83,18.61,18.88,0
1986-06-18T05:00:00Z,19.9,19.9,18.5,18.72,0
1986-06-19T05:00:00Z,20.17,20.17,19.01,19.12,0
1986-06-20T05:00:00Z,20.03,20.03,18.79,19.09,0
1986-06-23T05:00:00Z,19.25,19.25,18.09,18.31,0
1986-06-24T05:00:00Z,19.68,19.68,18.35,18.79,0
1986-06-25T05:00:00Z,19.47,19.47,18.47,18.65,0
1986-06-26T05:00:00Z,19.48,19.48,18.56,18.76,0
1986-06-27T05:00:00Z,19.35,19.35,18.57,18.57,0
1986-06-30T05:00:00Z,19.17,19.17,18.14,18.31,0
1986-07-01T05:00:00Z,18.84,18.84,17.8,17.85,0
1986-07-02T05:00:00Z,18.6,18.6,17.37,17.4,0
1986-07-03T05:00:00Z,18.21,18.21,17.39,17.56,0
1986-07-07T05:00:00Z,19.49,19.49,17.99,18.87,0
1986-07-08T05:00:00Z,21.36,21.36,18.5,19.27,0
1986-07-09T05:00:00Z,20.01,20.01,19.02,19.36,0
1986-07-10T05:00:00Z,20.56,20.56,18.65,19.27,0
1986-07-11T05:00:00Z,20.35,20.35,18.97,19.26,0
1986-07-14T05:00:00Z,20.61,20.61,18.15,20.05,0
1986-07-15T05:00:00Z,23.59,23.59,19.67,20.92,0
1986-07-16T05:00:00Z,22.02,22.02,20.72,21.16,0
1986-07-17T05:00:00Z,21.94,21.94,21.0,21.28,0
1986-07-18T05:00:00Z,22.21,22.21,19.84,21.59,0
1986-07-21T05:00:00Z,21.8,21.8,20.56,20.76,0
1986-07-22T05:00:00Z,21.47,21.47,20.0,20.0,0
1986-07-23T05:00:00Z,20.88,20.88,19.73,20.23,0
1986-07-24T05:00:00Z,21.01,21.01,19.93,20.12,0
1986-07-25T05:00:00Z,20.49,20.49,19.29,19.69,0
1986-07-28T05:00:00Z,20.06,20.06,18.56,19.43,0
1986-07-29T05:00:00Z,20.37,20.37,18.98,18.98,0
1986-07-30T05:00:00Z,20.3,20.3,19.23,19.44,0
1986-07-31T05:00:00Z,20.35,20.35,19.33,19.57,0
1986-08-01T05:00:00Z,20.28,20.28,19.04,19.38,0
1986-08-04T05:00:00Z,20.2,20.2,19.02,19.46,0
1986-08-05T05:00:00Z,20.55,20.55,19.54,19.58,0
1986-08-06T05:00:00Z,20.28,20.28,19.42,19.6,0
1986-08-07T05:00:00Z,21.04,21.04,19.9,20.49,0
1986-08-08T05:00:00Z,20.64,20.64,19.84,20.07,0
1986-08-11T05:00:00Z,20.45,20.45,19.21,19.42,0
1986-08-12T05:00:00Z,20.0,20.0,17.95,18.48,0
1986-08-13T05:00:00Z,19.76,19.76,18.26,19.12,0
1986-08-14T05:00:00Z,19.4,19.4,18.18,18.58,0
1986-08-15T05:00:00Z,19.14,19.14,17.95,17.96,0
1986-08-18T05:00:00Z,18.85,18.85,17.75,17.79,0
1986-08-19T05:00:00Z,18.66,18.66,17.5,17.75,0
1986-08-20T05:00:00Z,18.99,18.99,17.37,17.65,0
1986-08-21T05:00:00Z,18.55,18.55,17.64,17.97,0
