Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,Drawdown,IsWin,Order Ids
2022-04-01T19:50:00Z,"SPXW  220404P04460000",2022-04-04T14:00:00Z,Sell,1.7,0.15,1,155,2,6,1,"	2,5" 
2022-04-01T19:50:00Z,"SPXW  220404P04440000",2022-04-04T14:00:00Z,Buy,0.95,0.1,1,-85,2,88,0,"	1,6" 
2022-04-01T19:50:00Z,"SPXW  220404C04600000",2022-04-04T14:00:00Z,Sell,0.85,0.65,1,20,2,10,1,"	3,7" 
2022-04-01T19:50:00Z,"SPXW  220404C04620000",2022-04-04T14:00:00Z,Buy,0.3,0.1,1,-20,2,20,0,"	4,8" 
2022-04-05T19:50:00Z,"SPXW  220406P04465000",2022-04-06T14:00:00Z,Sell,1.7,13.9,1,-1220,2,1220,0,"	10,13" 
2022-04-05T19:50:00Z,"SPXW  220406P04445000",2022-04-06T14:00:00Z,Buy,1,6.7,1,570,2,11,1,"	9,14" 
2022-04-05T19:50:00Z,"SPXW  220406C04615000",2022-04-06T14:00:00Z,Sell,0.85,0.05,1,80,2,15,1,"	11,15" 
2022-04-05T19:50:00Z,"SPXW  220406C04635000",2022-04-06T14:00:00Z,Buy,0.35,0.15,1,-20,2,30,0,"	12,16" 
2022-04-07T19:50:00Z,"SPXW  220408P04425000",2022-04-08T15:00:00Z,Sell,1.5,0.2,1,130,2,75,1,"	18,21" 
2022-04-07T19:50:00Z,"SPXW  220408P04405000",2022-04-08T15:00:00Z,Buy,0.8,0.1,1,-70,2,70,0,"	17,22" 
2022-04-07T19:50:00Z,"SPXW  220408C04580000",2022-04-08T15:00:00Z,Sell,0.95,0.15,1,80,2,10,1,"	19,23" 
2022-04-07T19:50:00Z,"SPXW  220408C04600000",2022-04-08T15:00:00Z,Buy,0.3,0.1,1,-20,2,25,0,"	20,24" 
2022-04-08T19:50:00Z,"SPXW  220411P04420000",2022-04-11T17:00:00Z,Sell,1.85,3.5,1,-165,2,322.5,0,"	26,29" 
2022-04-08T19:50:00Z,"SPXW  220411P04400000",2022-04-11T17:00:00Z,Buy,1.05,0.55,1,-50,2,72,0,"	25,30" 
2022-04-08T19:50:00Z,"SPXW  220411C04580000",2022-04-11T17:00:00Z,Sell,0.9,0.05,1,85,2,7.5,1,"	27,31" 
2022-04-08T19:50:00Z,"SPXW  220411C04600000",2022-04-11T17:00:00Z,Buy,0.35,0.1,1,-25,2,30,0,"	28,32" 
2022-04-12T19:50:00Z,"SPXW  220413P04320000",2022-04-13T14:00:00Z,Sell,1.6,0.4,1,120,2,15,1,"	34,37" 
2022-04-12T19:50:00Z,"SPXW  220413P04300000",2022-04-13T14:00:00Z,Buy,1,0.15,1,-85,2,85,0,"	33,38" 
2022-04-12T19:50:00Z,"SPXW  220413C04480000",2022-04-13T14:00:00Z,Sell,1,0.15,1,85,2,5,1,"	35,39" 
2022-04-12T19:50:00Z,"SPXW  220413C04500000",2022-04-13T14:00:00Z,Buy,0.5,0.05,1,-45,2,45,0,"	36,40" 
2022-04-13T19:50:00Z,"SPXW  220414P04360000",2022-04-14T14:00:00Z,Sell,1.7,0.5,1,120,2,5,1,"	42,45" 
2022-04-13T19:50:00Z,"SPXW  220414P04340000",2022-04-14T14:00:00Z,Buy,1.05,0.15,1,-90,2,90,0,"	41,46" 
2022-04-13T19:50:00Z,"SPXW  220414C04505000",2022-04-14T14:00:00Z,Sell,1.1,0.25,1,85,2,10,1,"	43,47" 
2022-04-13T19:50:00Z,"SPXW  220414C04525000",2022-04-14T14:00:00Z,Buy,0.4,0.05,1,-35,2,35,0,"	44,48" 
2022-04-14T19:50:00Z,"SPXW  220418P04305000",2022-04-18T14:00:00Z,Sell,1.85,0.2,1,165,2,35,1,"	50,53" 
2022-04-14T19:50:00Z,"SPXW  220418P04285000",2022-04-18T14:00:00Z,Buy,1.25,0.1,1,-115,2,121,0,"	49,54" 
2022-04-14T19:50:00Z,"SPXW  220418C04490000",2022-04-18T14:00:00Z,Sell,1.05,0.1,1,95,2,5,1,"	51,55" 
2022-04-14T19:50:00Z,"SPXW  220418C04510000",2022-04-18T14:00:00Z,Buy,0.4,0.15,1,-25,2,35,0,"	52,56" 
2022-04-19T19:50:00Z,"SPXW  220420P04375000",2022-04-20T14:00:00Z,Sell,1.65,0.2,1,145,2,5,1,"	58,61" 
2022-04-19T19:50:00Z,"SPXW  220420P04355000",2022-04-20T14:00:00Z,Buy,0.8,0.1,1,-70,2,70,0,"	57,62" 
2022-04-19T19:50:00Z,"SPXW  220420C04525000",2022-04-20T14:00:00Z,Sell,0.8,0.3,1,50,2,15,1,"	59,63" 
2022-04-19T19:50:00Z,"SPXW  220420C04545000",2022-04-20T14:00:00Z,Buy,0.25,0.1,1,-15,2,28,0,"	60,64" 
2022-04-21T19:50:00Z,"SPXW  220422P04315000",2022-04-22T16:00:00Z,Sell,1.45,13.4,1,-1195,2,1195,0,"	66,69" 
